Date,Flow (MGD),Velocity (ft/s),Depth (inches),Rainfall (inches)
2018-04-03 13:00:00,0.09,0.67,3.06,0.0
2018-04-03 13:15:00,0.09,0.64,3.11,0.0
2018-04-03 13:30:00,0.09,0.67,3.1,0.0
2018-04-03 13:45:00,0.09,0.64,3.06,0.0
2018-04-03 14:00:00,0.18,1.26,3.08,0.0
2018-04-03 14:15:00,0.1,0.7,3.2,0.0
2018-04-03 14:30:00,0.11,0.77,3.16,0.0
2018-04-03 14:45:00,0.1,0.68,3.12,0.0
2018-04-03 15:00:00,0.1,0.67,3.17,0.0
2018-04-03 15:15:00,0.1,0.71,3.16,0.0
2018-04-03 15:30:00,0.1,0.68,3.09,0.0
2018-04-03 15:45:00,0.11,0.78,3.16,0.0
2018-04-03 16:00:00,0.1,0.67,3.14,0.0
2018-04-03 16:15:00,0.09,0.63,3.2,0.0
2018-04-03 16:30:00,0.1,0.69,3.11,0.0
2018-04-03 16:45:00,0.09,0.65,3.09,0.0
2018-04-03 17:00:00,0.1,0.72,3.11,0.0
2018-04-03 17:15:00,0.11,0.78,3.15,0.0
2018-04-03 17:30:00,0.1,0.68,3.21,0.0
2018-04-03 17:45:00,0.1,0.69,3.17,0.0
2018-04-03 18:00:00,0.11,0.75,3.09,0.0
2018-04-03 18:15:00,0.1,0.69,3.15,0.0
2018-04-03 18:30:00,0.11,0.75,3.23,0.0
2018-04-03 18:45:00,0.1,0.66,3.16,0.0
2018-04-03 19:00:00,0.09,0.62,3.21,0.0
2018-04-03 19:15:00,0.1,0.67,3.16,0.0
2018-04-03 19:30:00,0.11,0.73,3.33,0.0
2018-04-03 19:45:00,0.11,0.75,3.25,0.0
2018-04-03 20:00:00,0.12,0.77,3.28,0.0
2018-04-03 20:15:00,0.1,0.67,3.26,0.0
2018-04-03 20:30:00,0.11,0.77,3.19,0.0
2018-04-03 20:45:00,0.1,0.68,3.23,0.0
2018-04-03 21:00:00,0.11,0.72,3.3,0.0
2018-04-03 21:15:00,0.1,0.64,3.23,0.0
2018-04-03 21:30:00,0.11,0.7,3.2,0.0
2018-04-03 21:45:00,0.11,0.72,3.22,0.0
2018-04-03 22:00:00,0.11,0.73,3.26,0.0
2018-04-03 22:15:00,0.11,0.75,3.18,0.0
2018-04-03 22:30:00,0.1,0.65,3.18,0.0
2018-04-03 22:45:00,0.11,0.72,3.16,0.0
